pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
26602,"5.776,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
27056,"1.460,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27056,"2.920,00",Crédito,2,"R$ 0,00",,,,,,Boleto,"1,99",,,,
27055,"8.800,00",Pix,1,"R$ 0,00",,,,,,Pix,0,,,,
26603,"590,00",Débito,1,"R$ 8,50",,,,,,Debito,"1,44%",,,,
26603,"1.200,00",Crédito,2,"R$ 0,00",,,,,,Crédito a vista,"2,37%",,,,
26605,"14.000,00",Pix,1,"R$ 0,00",,,,,,Crédito até 6x,"2,55%",,,,
27057,"9.678,00",Crédito,6,"R$ 0,00",,,,,,Crédito até 7 a 12x,"3,03%",,,,
26606,"3.885,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27058,"17.890,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26607,"6.400,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27054,"6.150,00",Cheque,1,"R$ 0,00",,,,,,,Visa,Mastercard,Amex,Elo,Diners
27054,"39.200,00",Cheque,7,"R$ 0,00",,,,,,Debito,"1,19%","1,19%","1,69%","1,69%",
26604,"1.100,00",Pix,1,"R$ 0,00",,,,,,Crédito a vista,"2,17%","2,17%","2,67%","2,67%","2,17%"
26604,"9.900,00",Crédito,9,"R$ 0,00",,,,,,Crédito até 6x,"2,35%","2,35%","2,85%","2,85%","2,35%"
27059,"2.062,00",Pix,1,"R$ 0,00",,,,,,Crédito até 7 a 12x,"2,79%","2,79%","3,39%","3,39%","2,79%"
27059,"4.124,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
27060,"2.100,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
27062,"3.200,00",Débito,1,"R$ 46,08",,,,,,,,,,,
26609,"1.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27061,"1.420,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
27063,"4.300,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26608,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26611,"10.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27064,"1.750,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
27066,"7.630,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
27065,"1.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26614,"11.890,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26613,"5.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26612,"35.000,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
26612,"15.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
27067,"6.300,00",Transferência,1,"R$ 0,00",,,,,,,,,,,
26616,"1.645,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26615,"4.445,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26615,"1.905,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26617,"5.500,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26618,"2.000,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
27068,"8.365,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27068,"3.585,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26619,"6.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26621,"2.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26621,"5.180,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
27069,"2.100,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26622,"4.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26622,"4.200,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26623,"891,00",Débito,1,"R$ 12,83",,,,,,,,,,,
26623,"4.455,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
27070,"9.900,00",Transferência,1,"R$ 0,00",,,,,,,,,,,
26624,"2.660,00",Transferência,1,"R$ 0,00",,,,,,,,,,,
26625,"1.300,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26625,"6.300,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26626,"4.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27071,"4.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27071,"647,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26629,"3.300,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27074,"3.150,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27074,"3.150,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27072,"6.088,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26628,"2.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26628,"3.200,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26627,"1.862,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26627,"180,00",Débito,1,"R$ 2,59",,,,,,,,,,,
27073,"1.000,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
27073,"1.800,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
27073,"1.800,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
27073,"1.800,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
27076,"2.000,00",Débito,1,"R$ 28,80",,,,,,,,,,,
27076,"1.360,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
26630,"18.355,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
27077,"6.200,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
27079,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27079,"9.080,00",Crédito,9,"R$ 0,00",,,,,,,,,,,
26634,"11.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26634,"3.500,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26633,"4.430,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
26633,"2.215,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26637,"4.400,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
