pedido_id,product_name,product_class,product_forn,product_qtd,product_ref,product_value,product_enc,ValorReal,CustoTotal,ValorTotal,,
26602,Hermes Tela,Cadeira,Outro,8,"308,00","722,00",Sim,"722,00","2464,00","5776,00",,
27056,Tucson,Banqueta,AC COUROS,4,"477,00","1.190,00",Sim,"1095,00","1908,00","4380,00",,
27055,Balcão SOMO 2m,Outro,SIER,1,"4.888,00","8.800,00",Sim,"8800,00","4888,00","8800,00",,
26603,Conjunto Mesa Lateral Belize,Mesa lateral,Outro,1,"844,00","1.790,00",Não,"1790,00","844,00","1790,00",,
26605,Prence 180x100,Mesa,Outro,1,"1.698,00","3.260,00",Sim,"3261,86","1698,00","3261,86",,
26605,Cadeiras Phiel,Cadeira,Outro,6,"692,00","1.333,00",Não,"1333,76","4152,00","8002,57",,
26605,Aparador Palito,Aparador,Outro,1,"1.424,00","2.734,00",Sim,"2735,56","1424,00","2735,56",,
27057,bburn,Sofá,KLASSIC,1,"4.207,00","9.678,00",Sim,"9678,00","4207,00","9678,00",,
26606,Poltrona Costela,Poltrona,Outro,1,"1.392,00","3.000,00",Não,"3002,32","1392,00","3002,32",,
26606,Sapateira,Outro,Outro,1,"392,00","882,00",Não,"882,68","392,00","882,68",,
27058,Sofá Couro Calli,Sofá,Outro,1,"8.385,00","13.490,00",Não,"13490,00","8385,00","13490,00",,
27058,Poltrona Belize,Poltrona,Outro,2,"949,00","2.000,00",Sim,"2000,00","1898,00","4000,00",,
27058,Almofadas,Outro,Outro,2,"92,00","200,00",Não,"200,00","184,00","400,00",,
26607,Sofá Zello,Sofá,Outro,1,"2.816,00","6.100,00",Não,"6100,00","2816,00","6100,00",,
26607,Manta Azul,Outro,Outro,1,"120,00","300,00",Não,"300,00","120,00","300,00",,
27054,Sofá Automatizado,Sofá,Outro,1,"19.195,00","35.000,00",Não,"35000,02","19195,00","35000,02",,
27054,Mesa 200x100,Mesa,Outro,1,"1.707,00","4.000,00",Não,"4000,00","1707,00","4000,00",,
27054,Cadeira Casca,Cadeira,Outro,6,"476,00","1.058,33",Não,"1058,33","2856,00","6349,98",,
26604,Estofado BBurn 335,Sofá,KLASSIC,1,"4.712,00","11.000,00",Sim,"11000,00","4712,00","11000,00",,
27059,Poltrona Dallas,Poltrona,MINUANO,1,"3.094,00","6.186,00",Sim,"6186,00","3094,00","6186,00",,
27060,puff Treviso,Outro,Outro,1,"772,80","2.350,00",Sim,"2100,00","772,80","2100,00",,
27062,Sofá Cama Belize,Sofá,Outro,1,"1.566,25","3.200,00",Não,"3200,00","1566,25","3200,00",,
26609,Mesa Bistrô,Outro,HEITOR,1,"666,00","1.600,00",Não,"1600,00","666,00","1600,00",,
27061,Mesa Lateral Napoli,Outro,Outro,1,"616,00","1.420,00",Não,"1420,00","616,00","1420,00",,
27063,Bistro Kupe,Outro,Outro,1,"640,00","1.300,00",Não,"1300,00","640,00","1300,00",,
27063,Banquetas Fill,Outro,Outro,2,"685,00","1.500,00",Não,"1500,00","1370,00","3000,00",,
26608,Sofá Palermo,Sofá,Outro,1,"4.417,00","10.000,00",Não,"10000,00","4417,00","10000,00",,
26611,Mesa Escocia 219X110,Mesa,Outro,1,"2.055,00","3.699,00",Não,"3699,73","2055,00","3699,73",,
26611,Cadeiras Lucia,Cadeira,Outro,4,"579,00","1.082,00",Não,"1082,21","2316,00","4328,85",,
26611,Cadeiras Lucia,Cadeira,Outro,2,"579,00","1.085,50",Não,"1085,71","1158,00","2171,43",,
27064,Puff Maiori,Outro,Outro,2,"420,00","875,00",Não,"875,00","840,00","1750,00",,
27066,Mesa fênix 150cm,Mesa,Outro,1,"1.765,00","4.430,00",Sim,"3759,83","1765,00","3759,83",,
27066,Cadeira Hermes,Cadeira,Outro,6,"317,00","760,00",Sim,"645,03","1902,00","3870,17",,
27065,Luminaria,Outro,Outro,1,"780,00","1.500,00",Não,"1500,00","780,00","1500,00",,
27065,Bandeja,Outro,Outro,1,"195,00","400,00",Não,"400,00","195,00","400,00",,
26614,Sofá Lincoln,Sofá,KLASSIC,1,"4.560,00","11.400,00",Sim,"9966,62","4560,00","9966,62",,
26614,Tapete 210x165,Outro,Outro,1,"987,00","2.200,00",Sim,"1923,38","987,00","1923,38",,
26613,Poltrona Cordone James,Poltrona,Outro,4,"540,00","1.000,00",Não,"1000,00","2160,00","4000,00",,
26613,Poltrona Amores,Poltrona,Outro,1,"640,00","1.200,00",Não,"1200,00","640,00","1200,00",,
26612,Cadeira Gama com dourado,Cadeira,Outro,8,"478,00","884,00",Sim,"883,98","3824,00","7071,86",,
